id,city,ward,language,category,priority,complaint_text,translated_english,timestamp,status
SYN-HYD-4100,Hyderabad,Ward 98 (Jubilee Hills),English,Water Supply,Medium,Road subsidence occurring outside Circle 3 due to continuous pressurized water line leak. Commuter traffic is diverted.,Road subsidence outside Circle 3 due to water pipeline leak. Traffic diverted.,2026-09-09 10:00,Pending
SYN-KOL-5065,Kolkata,Ward 65 (Ballygunge),English,Streetlights,High,Streetlight mast pole near government school has exposed live copper wires hanging loose at child height following thunderstorm.,Streetlight pole near school has exposed live wires hanging at child height following thunderstorm.,2026-09-09 16:30,In Progress
SYN-KOL-5066,Kolkata,Ward 65 (Ballygunge),Bengali,Streetlights,High,বালিগঞ্জ সরকারি স্কুলের পাশের ল্যাম্পপোস্ট থেকে বিদ্যুতের খোলা তার ঝুলছে। বৃষ্টিতে মারাত্মক বিপদের আশঙ্কা রয়েছে।,Open electric wire hanging from lamppost next to Ballygunge government school. Danger of severe electrocution in rain.,2026-09-10 11:15,Pending
SYN-KOC-101,Kochi,Ward 15 (Kaloor),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-05 11:45,Resolved
SYN-DEL-102,Delhi,Ward 42 (Karol Bagh),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-06 12:52,In Progress
SYN-MUM-103,Mumbai,Ward G/North (Dadar),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-07 13:59,Pending
SYN-BEN-104,Bengaluru,Ward 112 (Indiranagar),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-08 14:06,Resolved
SYN-HYD-105,Hyderabad,Ward 72 (Madhapur),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-09 15:13,Pending
SYN-KOL-106,Kolkata,Ward 65 (Ballygunge),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-10 16:20,In Progress
SYN-CHE-107,Chennai,Ward 138 (Mylapore),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-04 17:27,Resolved
SYN-AHM-108,Ahmedabad,Ward 22 (Vastrapur),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-05 18:34,In Progress
SYN-KOC-109,Kochi,Ward 15 (Kaloor),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-06 19:41,Pending
SYN-DEL-110,Delhi,Ward 42 (Karol Bagh),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-07 08:48,Resolved
SYN-MUM-111,Mumbai,Ward G/North (Dadar),English,Streetlights,Medium,Four consecutive streetlights on main bus route are completely dark for the past 5 days causing pedestrian hazard.,Four consecutive streetlights dark on main bus route for 5 days.,2026-09-08 09:55,Pending
SYN-BEN-112,Bengaluru,Ward 112 (Indiranagar),Hindi,Streetlights,High,बिजली के खंभे का फ्यूज बॉक्स खुला हुआ है और जमीन से एक मीटर ऊपर नंगे तार लटक रहे हैं। बच्चों के लिए बहुत खतरनाक है।,Open fuse box on electric pole with exposed wires one meter above ground. Extreme hazard for children.,2026-09-09 10:02,In Progress
SYN-HYD-113,Hyderabad,Ward 72 (Madhapur),Hinglish,Streetlights,Low,Lane 3 me ek streetlight continuously blink/flicker kar rahi hai. Bulb replace karne ki request hai.,"One streetlight in Lane 3 continuously flickering, request bulb replacement.",2026-09-10 11:09,Resolved
SYN-KOL-114,Kolkata,Ward 65 (Ballygunge),Bengali,Streetlights,Medium,"বাস স্ট্যান্ডের মোড়ে ৩টি স্ট্রিট লাইট জ্বলছে না। সন্ধ্যার পর রাস্তা অন্ধকার হয়ে যায়, দুর্ঘটনার ঝুঁকি রয়েছে।",3 streetlights not working at bus stand corner. Road dark after evening with accident risk.,2026-09-04 12:16,In Progress
SYN-CHE-115,Chennai,Ward 138 (Mylapore),Punjabi,Streetlights,High,ਮੁੱਖ ਸੜਕ ਦੇ ਖੰਭੇ ਤੋਂ ਤਾਰਾਂ ਹੇਠਾਂ ਲਟਕ ਰਹੀਆਂ ਹਨ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਕਰੰਟ ਆਉਣ ਦਾ ਖਤਰਾ ਹੈ। ਤੁਰੰਤ ਟੀਮ ਭੇਜੋ।,Wires hanging down from main road pole with electrocution risk during rain. Send team immediately.,2026-09-05 13:23,Pending
SYN-AHM-116,Ahmedabad,Ward 22 (Vastrapur),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-06 14:30,Resolved
SYN-KOC-117,Kochi,Ward 15 (Kaloor),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-07 15:37,Pending
SYN-DEL-118,Delhi,Ward 42 (Karol Bagh),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-08 16:44,In Progress
SYN-MUM-119,Mumbai,Ward G/North (Dadar),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-09 17:51,Resolved
SYN-BEN-120,Bengaluru,Ward 112 (Indiranagar),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-10 18:58,In Progress
SYN-HYD-121,Hyderabad,Ward 72 (Madhapur),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-04 19:05,Pending
SYN-KOL-122,Kolkata,Ward 65 (Ballygunge),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-05 08:12,Resolved
SYN-CHE-123,Chennai,Ward 138 (Mylapore),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-06 09:19,Pending
SYN-AHM-124,Ahmedabad,Ward 22 (Vastrapur),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-07 10:26,In Progress
SYN-KOC-125,Kochi,Ward 15 (Kaloor),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-08 11:33,Resolved
SYN-DEL-126,Delhi,Ward 42 (Karol Bagh),English,Streetlights,Medium,Four consecutive streetlights on main bus route are completely dark for the past 5 days causing pedestrian hazard.,Four consecutive streetlights dark on main bus route for 5 days.,2026-09-09 12:40,In Progress
SYN-MUM-127,Mumbai,Ward G/North (Dadar),Hindi,Streetlights,High,बिजली के खंभे का फ्यूज बॉक्स खुला हुआ है और जमीन से एक मीटर ऊपर नंगे तार लटक रहे हैं। बच्चों के लिए बहुत खतरनाक है।,Open fuse box on electric pole with exposed wires one meter above ground. Extreme hazard for children.,2026-09-10 13:47,Pending
SYN-BEN-128,Bengaluru,Ward 112 (Indiranagar),Hinglish,Streetlights,Low,Lane 3 me ek streetlight continuously blink/flicker kar rahi hai. Bulb replace karne ki request hai.,"One streetlight in Lane 3 continuously flickering, request bulb replacement.",2026-09-04 14:54,Resolved
SYN-HYD-129,Hyderabad,Ward 72 (Madhapur),Bengali,Streetlights,Medium,"বাস স্ট্যান্ডের মোড়ে ৩টি স্ট্রিট লাইট জ্বলছে না। সন্ধ্যার পর রাস্তা অন্ধকার হয়ে যায়, দুর্ঘটনার ঝুঁকি রয়েছে।",3 streetlights not working at bus stand corner. Road dark after evening with accident risk.,2026-09-05 15:01,Pending
SYN-KOL-130,Kolkata,Ward 65 (Ballygunge),Punjabi,Streetlights,High,ਮੁੱਖ ਸੜਕ ਦੇ ਖੰਭੇ ਤੋਂ ਤਾਰਾਂ ਹੇਠਾਂ ਲਟਕ ਰਹੀਆਂ ਹਨ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਕਰੰਟ ਆਉਣ ਦਾ ਖਤਰਾ ਹੈ। ਤੁਰੰਤ ਟੀਮ ਭੇਜੋ।,Wires hanging down from main road pole with electrocution risk during rain. Send team immediately.,2026-09-06 16:08,In Progress
SYN-CHE-131,Chennai,Ward 138 (Mylapore),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-07 17:15,Resolved
SYN-AHM-132,Ahmedabad,Ward 22 (Vastrapur),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-08 18:22,In Progress
SYN-KOC-133,Kochi,Ward 15 (Kaloor),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-09 19:29,Pending
SYN-DEL-134,Delhi,Ward 42 (Karol Bagh),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-10 08:36,Resolved
SYN-MUM-135,Mumbai,Ward G/North (Dadar),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-04 09:43,Pending
SYN-BEN-136,Bengaluru,Ward 112 (Indiranagar),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-05 10:50,In Progress
SYN-HYD-137,Hyderabad,Ward 72 (Madhapur),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-06 11:57,Resolved
SYN-KOL-138,Kolkata,Ward 65 (Ballygunge),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-07 12:04,In Progress
SYN-CHE-139,Chennai,Ward 138 (Mylapore),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-08 13:11,Pending
SYN-AHM-140,Ahmedabad,Ward 22 (Vastrapur),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-09 14:18,Resolved
SYN-KOC-141,Kochi,Ward 15 (Kaloor),English,Streetlights,Medium,Four consecutive streetlights on main bus route are completely dark for the past 5 days causing pedestrian hazard.,Four consecutive streetlights dark on main bus route for 5 days.,2026-09-10 15:25,Pending
SYN-DEL-142,Delhi,Ward 42 (Karol Bagh),Hindi,Streetlights,High,बिजली के खंभे का फ्यूज बॉक्स खुला हुआ है और जमीन से एक मीटर ऊपर नंगे तार लटक रहे हैं। बच्चों के लिए बहुत खतरनाक है।,Open fuse box on electric pole with exposed wires one meter above ground. Extreme hazard for children.,2026-09-04 16:32,In Progress
SYN-MUM-143,Mumbai,Ward G/North (Dadar),Hinglish,Streetlights,Low,Lane 3 me ek streetlight continuously blink/flicker kar rahi hai. Bulb replace karne ki request hai.,"One streetlight in Lane 3 continuously flickering, request bulb replacement.",2026-09-05 17:39,Resolved
SYN-BEN-144,Bengaluru,Ward 112 (Indiranagar),Bengali,Streetlights,Medium,"বাস স্ট্যান্ডের মোড়ে ৩টি স্ট্রিট লাইট জ্বলছে না। সন্ধ্যার পর রাস্তা অন্ধকার হয়ে যায়, দুর্ঘটনার ঝুঁকি রয়েছে।",3 streetlights not working at bus stand corner. Road dark after evening with accident risk.,2026-09-06 18:46,In Progress
SYN-HYD-145,Hyderabad,Ward 72 (Madhapur),Punjabi,Streetlights,High,ਮੁੱਖ ਸੜਕ ਦੇ ਖੰਭੇ ਤੋਂ ਤਾਰਾਂ ਹੇਠਾਂ ਲਟਕ ਰਹੀਆਂ ਹਨ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਕਰੰਟ ਆਉਣ ਦਾ ਖਤਰਾ ਹੈ। ਤੁਰੰਤ ਟੀਮ ਭੇਜੋ।,Wires hanging down from main road pole with electrocution risk during rain. Send team immediately.,2026-09-07 19:53,Pending
SYN-KOL-146,Kolkata,Ward 65 (Ballygunge),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-08 08:00,Resolved
SYN-CHE-147,Chennai,Ward 138 (Mylapore),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-09 09:07,Pending
SYN-AHM-148,Ahmedabad,Ward 22 (Vastrapur),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-10 10:14,In Progress
SYN-KOC-149,Kochi,Ward 15 (Kaloor),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-04 11:21,Resolved
SYN-DEL-150,Delhi,Ward 42 (Karol Bagh),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-05 12:28,In Progress
SYN-MUM-151,Mumbai,Ward G/North (Dadar),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-06 13:35,Pending
SYN-BEN-152,Bengaluru,Ward 112 (Indiranagar),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-07 14:42,Resolved
SYN-HYD-153,Hyderabad,Ward 72 (Madhapur),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-08 15:49,Pending
SYN-KOL-154,Kolkata,Ward 65 (Ballygunge),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-09 16:56,In Progress
SYN-CHE-155,Chennai,Ward 138 (Mylapore),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-10 17:03,Resolved
SYN-AHM-156,Ahmedabad,Ward 22 (Vastrapur),English,Streetlights,Medium,Four consecutive streetlights on main bus route are completely dark for the past 5 days causing pedestrian hazard.,Four consecutive streetlights dark on main bus route for 5 days.,2026-09-04 18:10,In Progress
SYN-KOC-157,Kochi,Ward 15 (Kaloor),Hindi,Streetlights,High,बिजली के खंभे का फ्यूज बॉक्स खुला हुआ है और जमीन से एक मीटर ऊपर नंगे तार लटक रहे हैं। बच्चों के लिए बहुत खतरनाक है।,Open fuse box on electric pole with exposed wires one meter above ground. Extreme hazard for children.,2026-09-05 19:17,Pending
SYN-DEL-158,Delhi,Ward 42 (Karol Bagh),Hinglish,Streetlights,Low,Lane 3 me ek streetlight continuously blink/flicker kar rahi hai. Bulb replace karne ki request hai.,"One streetlight in Lane 3 continuously flickering, request bulb replacement.",2026-09-06 08:24,Resolved
SYN-MUM-159,Mumbai,Ward G/North (Dadar),Bengali,Streetlights,Medium,"বাস স্ট্যান্ডের মোড়ে ৩টি স্ট্রিট লাইট জ্বলছে না। সন্ধ্যার পর রাস্তা অন্ধকার হয়ে যায়, দুর্ঘটনার ঝুঁকি রয়েছে।",3 streetlights not working at bus stand corner. Road dark after evening with accident risk.,2026-09-07 09:31,Pending
SYN-BEN-160,Bengaluru,Ward 112 (Indiranagar),Punjabi,Streetlights,High,ਮੁੱਖ ਸੜਕ ਦੇ ਖੰਭੇ ਤੋਂ ਤਾਰਾਂ ਹੇਠਾਂ ਲਟਕ ਰਹੀਆਂ ਹਨ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਕਰੰਟ ਆਉਣ ਦਾ ਖਤਰਾ ਹੈ। ਤੁਰੰਤ ਟੀਮ ਭੇਜੋ।,Wires hanging down from main road pole with electrocution risk during rain. Send team immediately.,2026-09-08 10:38,In Progress
SYN-HYD-161,Hyderabad,Ward 72 (Madhapur),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-09 11:45,Resolved
SYN-KOL-162,Kolkata,Ward 65 (Ballygunge),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-10 12:52,In Progress
SYN-CHE-163,Chennai,Ward 138 (Mylapore),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-04 13:59,Pending
SYN-AHM-164,Ahmedabad,Ward 22 (Vastrapur),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-05 14:06,Resolved
SYN-KOC-165,Kochi,Ward 15 (Kaloor),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-06 15:13,Pending
SYN-DEL-166,Delhi,Ward 42 (Karol Bagh),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-07 16:20,In Progress
SYN-MUM-167,Mumbai,Ward G/North (Dadar),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-08 17:27,Resolved
